date,store,cash,total
2025-01-01,Боба Рэббит,cash,10900
2025-01-01,Боба Рэббит,non-cash,40905
2025-01-01,Советов,cash,2075
2025-01-01,Советов,non-cash,8045
2025-01-02,Анапа,cash,700
2025-01-02,Анапа,non-cash,4000
2025-01-02,Боба Рэббит,cash,13400
2025-01-02,Боба Рэббит,non-cash,56660
2025-01-02,Геленджик,cash,2950
2025-01-02,Геленджик,non-cash,12080
2025-01-02,Грин Парк,cash,5388
2025-01-02,Грин Парк,non-cash,41427
2025-01-02,Красная,cash,1750
2025-01-02,Красная,non-cash,19530
2025-01-02,Советов,cash,1700
2025-01-02,Советов,non-cash,13660
2025-01-02,Черноморский,cash,4470
2025-01-02,Черноморский,non-cash,18120
2025-01-03,Анапа,cash,2100
2025-01-03,Анапа,non-cash,9200
2025-01-03,Боба Рэббит,cash,14600
2025-01-03,Боба Рэббит,non-cash,51771
2025-01-03,Геленджик,cash,2560
2025-01-03,Геленджик,non-cash,14690
2025-01-03,Грин Парк,cash,9360
2025-01-03,Грин Парк,non-cash,39486
2025-01-03,Красная,cash,2810
2025-01-03,Красная,non-cash,19235
2025-01-03,Советов,cash,2000
2025-01-03,Советов,non-cash,10620
2025-01-03,Черноморский,cash,2710
2025-01-03,Черноморский,non-cash,19845
2025-01-04,Анапа,cash,1750
2025-01-04,Анапа,non-cash,4035
2025-01-04,Боба Рэббит,cash,8950
2025-01-04,Боба Рэббит,non-cash,47580
2025-01-04,Геленджик,cash,300
2025-01-04,Геленджик,non-cash,8635
2025-01-04,Грин Парк,cash,9525
2025-01-04,Грин Парк,non-cash,29680
2025-01-04,Красная,cash,3500
2025-01-04,Красная,non-cash,14570
2025-01-04,Советов,cash,0
2025-01-04,Советов,non-cash,3825
2025-01-04,Черноморский,cash,1450
2025-01-04,Черноморский,non-cash,10115
2025-01-05,Анапа,cash,800
2025-01-05,Анапа,non-cash,6275
2025-01-05,Боба Рэббит,cash,13100
2025-01-05,Боба Рэббит,non-cash,45505
2025-01-05,Геленджик,cash,700
2025-01-05,Геленджик,non-cash,10945
2025-01-05,Грин Парк,cash,11070
2025-01-05,Грин Парк,non-cash,27675
2025-01-05,Красная,cash,4650
2025-01-05,Красная,non-cash,18795
2025-01-05,Советов,cash,2460
2025-01-05,Советов,non-cash,9210
2025-01-05,Черноморский,cash,3000
