store,date,gap_start,gap_end,gap_minutes,revenue_during_gap
БОН ПАССАЖ,2026-04-01,2026-04-01 14:34:48.579433,2026-04-01 18:31:53.008204,237,4955
БОН ПАССАЖ,2026-04-01,2026-04-01 18:31:53.008204,2026-04-01 20:26:14.276420,114,0
БОН ПАССАЖ,2026-04-02,2026-04-02 18:57:48.919768,2026-04-02 21:31:24.006840,154,1520
БОН ПАССАЖ,2026-04-02,2026-04-02 17:28:55.298497,2026-04-02 18:57:48.919768,89,1495
БОН ПАССАЖ,2026-04-02,2026-04-02 13:27:07.789774,2026-04-02 14:51:54.643025,85,730
БОН ПАССАЖ,2026-04-02,2026-04-02 12:08:27.038134,2026-04-02 13:27:07.789774,79,700
БОН ПАССАЖ,2026-04-03,2026-04-03 14:56:28.031025,2026-04-03 18:12:03.478633,196,665
БОН ПАССАЖ,2026-04-04,2026-04-04 08:46:51.268145,2026-04-04 15:32:45.270992,406,2238
БОН ПАССАЖ,2026-04-04,2026-04-04 19:03:23.320540,2026-04-04 21:55:43.423939,172,610
БОН ПАССАЖ,2026-04-04,2026-04-04 17:40:26.611204,2026-04-04 19:03:23.320540,83,1540
БОН ПАССАЖ,2026-04-05,2026-04-05 16:50:21.908695,2026-04-05 18:58:58.068517,129,1460
БОН ПАССАЖ,2026-04-05,2026-04-05 11:17:01.416821,2026-04-05 12:44:53.744410,88,360
БОН ПАССАЖ,2026-04-05,2026-04-05 13:38:49.433450,2026-04-05 15:02:36.512421,84,320
БОН ПАССАЖ,2026-04-05,2026-04-05 15:34:13.485717,2026-04-05 16:50:21.908695,76,850
БОН ПАССАЖ,2026-04-06,2026-04-06 17:58:21.817567,2026-04-06 21:43:43.703648,225,740
БОН ПАССАЖ,2026-04-06,2026-04-06 16:20:47.371699,2026-04-06 17:58:21.817567,98,400
БОН ПАССАЖ,2026-04-06,2026-04-06 15:09:17.567174,2026-04-06 16:10:32.727918,61,850
БОН ПАССАЖ,2026-04-07,2026-04-07 15:57:22.953380,2026-04-07 18:09:48.507698,132,650
БОН ПАССАЖ,2026-04-07,2026-04-07 13:58:58.587423,2026-04-07 15:57:22.953380,118,1010
БОН ПАССАЖ,2026-04-07,2026-04-07 18:09:48.507698,2026-04-07 19:50:15.250317,100,0
БОН ПАССАЖ,2026-04-08,2026-04-08 09:58:38.538186,2026-04-08 11:46:48.306815,108,1140
БОН ПАССАЖ,2026-04-08,2026-04-08 12:12:01.064621,2026-04-08 13:37:54.422221,86,300
БОН ПАССАЖ,2026-04-09,2026-04-09 09:53:20.203090,2026-04-09 12:44:14.898203,171,0
БОН ПАССАЖ,2026-04-09,2026-04-09 13:19:10.104297,2026-04-09 14:21:48.195142,63,0
БОН ПАССАЖ,2026-04-10,2026-04-10 09:57:29.684111,2026-04-10 14:03:36.166324,246,400
БОН ПАССАЖ,2026-04-10,2026-04-10 18:29:32.710163,2026-04-10 20:04:45.427442,95,1170
БОН ПАССАЖ,2026-04-10,2026-04-10 14:11:35.540595,2026-04-10 15:39:33.151776,88,0
БОН ПАССАЖ,2026-04-10,2026-04-10 17:01:44.141207,2026-04-10 18:06:33.171099,65,0
ГАЛЕРЕЯ,2026-04-01,2026-04-01 17:11:50.144526,2026-04-01 19:01:39.081070,110,700
ГАЛЕРЕЯ,2026-04-01,2026-04-01 19:01:39.081070,2026-04-01 20:26:31.223877,85,400
ГАЛЕРЕЯ,2026-04-01,2026-04-01 11:03:30.422205,2026-04-01 12:24:33.848264,81,400
ГАЛЕРЕЯ,2026-04-01,2026-04-01 15:51:09.814734,2026-04-01 17:11:50.144526,81,2450
ГАЛЕРЕЯ,2026-04-01,2026-04-01 13:28:21.436179,2026-04-01 14:31:54.426667,64,1450
ГАЛЕРЕЯ,2026-04-01,2026-04-01 12:26:12.008657,2026-04-01 13:28:21.436179,62,125
ГАЛЕРЕЯ,2026-04-02,2026-04-02 12:46:59.894062,2026-04-02 14:38:26.300663,111,950
ГАЛЕРЕЯ,2026-04-02,2026-04-02 15:02:43.111977,2026-04-02 16:27:39.666911,85,0
ГАЛЕРЕЯ,2026-04-02,2026-04-02 18:45:57.386642,2026-04-02 20:02:29.619975,77,350
ГАЛЕРЕЯ,2026-04-02,2026-04-02 20:02:29.619975,2026-04-02 21:17:55.690130,75,0
ГАЛЕРЕЯ,2026-04-02,2026-04-02 16:32:33.436374,2026-04-02 17:36:34.625791,64,250
ГАЛЕРЕЯ,2026-04-03,2026-04-03 17:01:15.936765,2026-04-03 19:08:43.048265,127,950
ГАЛЕРЕЯ,2026-04-03,2026-04-03 13:39:26.159762,2026-04-03 15:42:49.823610,123,650
ГАЛЕРЕЯ,2026-04-03,2026-04-03 12:23:16.303795,2026-04-03 13:37:44.403263,74,0
ГАЛЕРЕЯ,2026-04-04,2026-04-04 18:17:04.632394,2026-04-04 19:54:39.384224,98,575
ГАЛЕРЕЯ,2026-04-04,2026-04-04 15:32:57.841681,2026-04-04 17:00:46.296201,88,1300
ГАЛЕРЕЯ,2026-04-04,2026-04-04 14:28:29.972189,2026-04-04 15:29:42.773650,61,1050
ГАЛЕРЕЯ,2026-04-05,2026-04-05 17:14:13.791747,2026-04-05 19:00:20.871371,106,325
ГАЛЕРЕЯ,2026-04-05,2026-04-05 15:42:05.792891,2026-04-05 17:11:09.301220,89,1400
ГАЛЕРЕЯ,2026-04-05,2026-04-05 12:35:38.919769,2026-04-05 13:52:15.097580,77,1550
ГАЛЕРЕЯ,2026-04-05,2026-04-05 14:37:16.652487,2026-04-05 15:41:11.102627,64,400
ГАЛЕРЕЯ,2026-04-05,2026-04-05 19:00:20.871371,2026-04-05 20:04:02.885302,64,0
ГАЛЕРЕЯ,2026-04-06,2026-04-06 19:44:55.872786,2026-04-06 21:48:16.468796,123,1150
ГАЛЕРЕЯ,2026-04-06,2026-04-06 16:08:30.979994,2026-04-06 17:53:26.661338,105,0
ГАЛЕРЕЯ,2026-04-06,2026-04-06 18:16:09.755038,2026-04-06 19:44:55.872786,89,700
ГАЛЕРЕЯ,2026-04-06,2026-04-06 13:36:51.614987,2026-04-06 14:59:57.262799,83,700
ГАЛЕРЕЯ,2026-04-07,2026-04-07 17:47:27.153935,2026-04-07 19:26:24.674046,99,950
ГАЛЕРЕЯ,2026-04-07,2026-04-07 14:00:39.745170,2026-04-07 15:26:39.248247,86,250
ГАЛЕРЕЯ,2026-04-08,2026-04-08 13:56:46.358867,2026-04-08 18:29:28.931689,273,575
ГАЛЕРЕЯ,2026-04-09,2026-04-09 14:31:46.389720,2026-04-09 17:06:17.559245,155,450
ГАЛЕРЕЯ,2026-04-10,2026-04-10 13:21:38.540932,2026-04-10 16:48:28.478544,207,800
ГАЛЕРЕЯ,2026-04-10,2026-04-10 16:58:11.127665,2026-04-10 18:50:42.319865,113,0
ГРИН ПАРК,2026-04-01,2026-04-01 15:33:31.620890,2026-04-01 17:54:48.548625,141,2100
ГРИН ПАРК,2026-04-01,2026-04-01 18:01:08.785676,2026-04-01 19:28:18.772077,87,875
ГРИН ПАРК,2026-04-01,2026-04-01 12:41:04.351066,2026-04-01 14:01:17.657287,80,420
ГРИН ПАРК,2026-04-02,2026-04-02 17:01:31.205186,2026-04-02 18:42:44.252243,101,1680
ГРИН ПАРК,2026-04-02,2026-04-02 12:19:43.245392,2026-04-02 13:50:23.332395,91,320
ГРИН ПАРК,2026-04-02,2026-04-02 18:52:14.125864,2026-04-02 20:00:27.172940,68,0
ГРИН ПАРК,2026-04-03,2026-04-03 15:04:26.665580,2026-04-03 17:06:22.331636,122,4100
ГРИН ПАРК,2026-04-03,2026-04-03 18:54:18.888718,2026-04-03 20:49:09.971499,115,1110
ГРИН ПАРК,2026-04-03,2026-04-03 12:02:44.216575,2026-04-03 13:41:57.526102,99,700
ГРИН ПАРК,2026-04-03,2026-04-03 17:12:59.648708,2026-04-03 18:46:57.093556,94,390
ГРИН ПАРК,2026-04-03,2026-04-03 13:41:57.526102,2026-04-03 14:57:21.752531,75,1270
ГРИН ПАРК,2026-04-04,2026-04-04 19:00:22.855585,2026-04-04 20:34:12.603063,94,0
ГРИН ПАРК,2026-04-04,2026-04-04 12:12:57.857822,2026-04-04 13:40:35.794941,88,2610
ГРИН ПАРК,2026-04-05,2026-04-05 15:32:15.269574,2026-04-05 17:44:46.339515,133,2840
ГРИН ПАРК,2026-04-05,2026-04-05 12:22:35.762308,2026-04-05 13:32:34.592993,70,720
ГРИН ПАРК,2026-04-05,2026-04-05 14:28:13.702999,2026-04-05 15:32:15.269574,64,0
ГРИН ПАРК,2026-04-06,2026-04-06 11:09:37.922279,2026-04-06 13:56:16.026871,167,0
ГРИН ПАРК,2026-04-06,2026-04-06 13:56:16.026871,2026-04-06 16:24:56.008473,149,0
ГРИН ПАРК,2026-04-06,2026-04-06 18:53:01.056774,2026-04-06 20:55:40.123741,123,360
ГРИН ПАРК,2026-04-06,2026-04-06 17:39:18.202093,2026-04-06 18:48:32.572367,69,970
ГРИН ПАРК,2026-04-06,2026-04-06 16:33:23.652656,2026-04-06 17:39:18.202093,66,490
ГРИН ПАРК,2026-04-07,2026-04-07 14:40:19.300313,2026-04-07 18:48:45.106231,248,390
ГРИН ПАРК,2026-04-07,2026-04-07 18:53:50.508208,2026-04-07 20:50:35.252073,117,490
ГРИН ПАРК,2026-04-08,2026-04-08 14:49:06.794809,2026-04-08 17:54:39.940755,186,1085
ГРИН ПАРК,2026-04-08,2026-04-08 12:50:58.890724,2026-04-08 14:48:58.160789,118,400
ГРИН ПАРК,2026-04-09,2026-04-09 17:03:07.817676,2026-04-09 18:49:41.047742,107,300
ГРИН ПАРК,2026-04-09,2026-04-09 14:55:16.078709,2026-04-09 16:26:18.971136,91,0
ГРИН ПАРК,2026-04-09,2026-04-09 13:26:21.082927,2026-04-09 14:43:50.108528,77,440
ГРИН ПАРК,2026-04-09,2026-04-09 18:53:37.767715,2026-04-09 20:05:11.238513,72,0
ГРИН ПАРК,2026-04-10,2026-04-10 16:18:54.359888,2026-04-10 18:24:03.927289,125,440
ГРИН ПАРК,2026-04-10,2026-04-10 13:23:56.028926,2026-04-10 14:49:00.209422,85,320
ГРИН ПАРК,2026-04-10,2026-04-10 19:04:12.948273,2026-04-10 20:19:26.327459,75,540
КИОСК,2026-04-01,2026-04-01 13:55:08.842418,2026-04-01 21:20:15.058273,445,675
КИОСК,2026-04-01,2026-04-01 11:43:24.975376,2026-04-01 13:55:08.842418,132,0
КИОСК,2026-04-02,2026-04-02 14:56:01.283114,2026-04-02 16:36:45.554908,101,1250
КИОСК,2026-04-03,2026-04-03 17:42:54.897680,2026-04-03 19:59:25.228306,137,425
КИОСК,2026-04-04,2026-04-04 12:57:21.386176,2026-04-04 17:11:21.910749,254,0
КИОСК,2026-04-04,2026-04-04 17:11:21.910749,2026-04-04 20:28:14.207931,197,1000
КИОСК,2026-04-06,2026-04-06 17:06:24.494217,2026-04-06 20:22:25.469499,196,550
КИОСК,2026-04-08,2026-04-08 12:54:22.573496,2026-04-08 16:45:46.696852,231,175
КИОСК,2026-04-10,2026-04-10 18:03:15.186021,2026-04-10 20:05:01.127000,122,125
КПК,2026-04-01,2026-04-01 10:44:06.691518,2026-04-01 15:39:26.262331,295,700
КПК,2026-04-01,2026-04-01 17:16:20.839735,2026-04-01 18:22:44.352816,66,500
КПК,2026-04-01,2026-04-01 18:22:44.352816,2026-04-01 19:26:05.549372,63,0
